YMD,incident_type,Gas Price($)
2000/1/3,Fire,1.272
2000/1/10,Tornado,1.264
2000/1/31,Severe Storm(s),1.316
2000/2/28,Severe Storm(s),1.421
2000/2/28,Flood,1.421
2000/3/20,Fire,1.529
2000/4/10,Severe Storm(s),1.475
2000/5/8,Fire,1.455
2000/5/29,Fire,1.54
2000/6/5,Fire,1.563
2000/6/12,Fire,1.631
2000/6/12,Severe Storm(s),1.631
2000/7/24,Fire,1.52
2000/7/31,Fire,1.471
2000/8/14,Fire,1.447
2000/8/21,Severe Storm(s),1.468
2000/8/28,Fire,1.481
2000/9/4,Fire,1.53
2000/9/11,Fire,1.561
2000/9/18,Fire,1.562
2000/11/27,Severe Storm(s),1.51
2000/12/4,Snow,1.486
2000/12/18,Severe Storm(s),1.422
2001/1/8,Severe Ice Storm,1.425
2001/2/5,Freezing,1.443
2001/2/19,Fire,1.449
2001/3/5,Severe Storm(s),1.417
2001/5/28,Flood,1.704
2001/5/28,Severe Storm(s),1.704
2001/6/11,Coastal Storm,1.647
2001/8/27,Severe Storm(s),1.488
2001/12/31,Snow,1.096
2002/2/11,Fire,1.107
2002/5/6,Severe Storm(s),1.395
2002/5/6,Flood,1.395
2002/6/3,Fire,1.392
2002/6/10,Fire,1.375
2002/6/17,Fire,1.378
2002/7/1,Fire,1.392
2002/7/15,Fire,1.394
2002/7/22,Fire,1.41
2002/7/29,Fire,1.407
2002/8/26,Fire,1.403
2002/11/18,Severe Storm(s),1.409
2003/1/6,Severe Ice Storm,1.444
2003/1/6,Typhoon,1.444
2003/5/12,Severe Storm(s),1.491
2003/5/12,Severe Ice Storm,1.491
2003/7/14,Fire,1.521
2003/7/21,Severe Storm(s),1.524
2003/8/11,Fire,1.571
2003/9/29,Fire,1.591
2003/10/27,Fire,1.542
2004/1/26,Severe Storm(s),1.622
2004/1/26,Snow,1.622
2004/4/26,Fire,1.812
2004/6/7,Severe Storm(s),2.034
2004/6/28,Fire,1.921
2004/7/26,Fire,1.905
2004/9/13,Fire,1.846
2004/9/20,Severe Storm(s),1.866
2004/10/18,Severe Storm(s),2.035
2004/11/15,Severe Storm(s),1.969
2005/3/7,Severe Storm(s),1.999
2005/3/14,Severe Storm(s),2.056
2005/3/14,Snow,2.056
2005/6/27,Fire,2.215
2005/7/25,Fire,2.289
2005/8/1,Flood,2.291
2005/8/1,Fire,2.291
2005/8/15,Fire,2.55
2005/8/22,Tornado,2.612
2005/8/22,Fire,2.612
2005/8/29,Hurricane,2.61
2005/8/29,Fire,2.61
2005/9/5,Hurricane,3.069
2005/9/5,Coastal Storm,3.069
2005/9/5,Fire,3.069
2005/9/12,Hurricane,2.955
2005/9/19,Hurricane,2.786
2005/10/24,Hurricane,2.603
2005/11/21,Snow,2.201
2006/1/2,Fire,2.238
2006/1/9,Fire,2.327
2006/2/6,Fire,2.342
2006/2/27,Severe Storm(s),2.254
2006/3/20,Severe Storm(s),2.504
2006/5/15,Fire,2.947
2006/6/5,Severe Storm(s),2.892
2006/6/5,Flood,2.892
2006/6/19,Fire,2.871
2006/6/26,Fire,2.869
2006/7/17,Fire,2.989
2006/7/24,Fire,3.003
2006/8/14,Fire,3
2006/9/11,Fire,2.618
2006/10/16,Severe Storm(s),2.226
2007/1/15,Severe Ice Storm,2.229
2007/3/12,Snow,2.559
2007/3/26,Fire,2.61
2007/4/2,Severe Storm(s),2.707
2007/5/7,Fire,3.054
2007/6/11,Severe Storm(s),3.076
2007/7/2,Severe Storm(s),2.959
2007/7/16,Fire,3.049
2007/7/23,Fire,2.958
2007/8/27,Severe Storm(s),2.749
2007/9/3,Fire,2.796
2007/10/22,Fire,2.823
2007/12/10,Severe Ice Storm,3
2008/2/25,Fire,3.13
2008/3/31,Fire,3.29
2008/4/21,Fire,3.508
2008/5/5,Severe Storm(s),3.613
2008/5/12,Fire,3.722
2008/5/19,Severe Storm(s),3.791
2008/5/26,Severe Storm(s),3.937
2008/6/16,Fire,4.082
2008/7/14,Severe Storm(s),4.113
2008/8/11,Severe Storm(s),3.809
2008/9/22,Hurricane,3.718
2008/10/13,Fire,3.151
2008/10/27,Hurricane,2.656
2008/12/15,Severe Storm(s),1.659
2009/1/5,Severe Ice Storm,1.684
2009/1/5,Flood,1.684
2009/3/2,Severe Storm(s),1.934
2009/4/27,Tornado,2.049
2009/5/18,Fire,2.309
2009/7/13,Severe Storm(s),2.528
2009/8/31,Fire,2.613
2010/3/8,Severe Storm(s),2.751
2010/3/29,Severe Storm(s),2.798
2010/4/19,Flood,2.86
2010/5/3,Other,2.898
2010/5/3,Severe Storm(s),2.898
2010/5/24,Fire,2.786
2010/5/24,Severe Storm(s),2.786
2010/7/19,Fire,2.722
2010/7/26,Severe Storm(s),2.749
2010/9/6,Fire,2.682
2010/9/13,Flood,2.721
2010/10/4,Severe Storm(s),2.732
2011/2/28,Fire,3.383
2011/3/7,Snow,3.52
2011/3/21,Fire,3.562
2011/4/18,Tsunami,3.844
2011/5/2,Severe Storm(s),3.963
2011/5/9,Fire,3.965
2011/5/9,Severe Storm(s),3.965
2011/6/6,Severe Storm(s),3.781
2011/6/20,Fire,3.652
2011/6/27,Flood,3.574
2011/7/4,Fire,3.579
2011/7/11,Fire,3.641
2011/7/25,Severe Storm(s),3.699
2011/8/1,Fire,3.711
2011/8/8,Flood,3.674
2011/8/8,Fire,3.674
2011/8/15,Fire,3.604
2011/8/22,Hurricane,3.581
2011/8/29,Hurricane,3.627
2011/8/29,Fire,3.627
2011/9/5,Fire,3.674
2011/9/12,Flood,3.661
2011/10/3,Fire,3.433
2011/10/31,Severe Storm(s),3.452
2011/12/5,Severe Storm(s),3.29
2012/3/5,Severe Storm(s),3.793
2012/3/26,Fire,3.918
2012/4/30,Fire,3.83
2012/6/18,Fire,3.533
2012/7/2,Fire,3.356
2012/7/23,Severe Storm(s),3.494
2012/7/30,Fire,3.508
2012/8/13,Fire,3.721
2012/8/20,Severe Storm(s),3.744
2012/8/27,Hurricane,3.776
2012/9/10,Fire,3.847
2012/9/24,Fire,3.826
2012/10/29,Hurricane,3.568
2012/11/26,Hurricane,3.437
2013/3/25,Severe Storm(s),3.68
2013/4/8,Severe Storm(s),3.608
2013/5/6,Severe Storm(s),3.538
2013/5/20,Tornado,3.673
2013/8/19,Fire,3.55
2013/9/30,Severe Storm(s),3.425
2014/1/6,Severe Ice Storm,3.332
2014/3/24,Mud/Landslide,3.549
2014/3/31,Severe Ice Storm,3.579
2014/5/5,Fire,3.684
2014/5/12,Fire,3.668
2014/7/14,Severe Storm(s),3.635
2014/7/14,Fire,3.635
2014/7/21,Flood,3.593
