YMD,incident_type,Gas Price($)
2000-01-03,Fire,1.272
2000-01-10,Tornado,1.264
2000-01-31,Severe Storm(s),1.3159999999999998
2000-02-28,Severe Storm(s),1.421
2000-02-28,Flood,1.421
2000-03-20,Fire,1.5290000000000001
2000-04-10,Severe Storm(s),1.475
2000-05-08,Fire,1.455
2000-05-29,Fire,1.54
2000-06-05,Fire,1.5630000000000002
2000-06-12,Fire,1.631
2000-06-12,Severe Storm(s),1.631
2000-07-24,Fire,1.52
2000-07-31,Fire,1.4709999999999999
2000-08-14,Fire,1.4469999999999998
2000-08-21,Severe Storm(s),1.4680000000000002
2000-08-28,Fire,1.4809999999999999
2000-09-04,Fire,1.53
2000-09-11,Fire,1.561
2000-09-18,Fire,1.5619999999999998
2000-11-27,Severe Storm(s),1.51
2000-12-04,Snow,1.486
2000-12-18,Severe Storm(s),1.422
2001-01-08,Severe Ice Storm,1.425
2001-02-05,Freezing,1.443
2001-02-19,Fire,1.449
2001-03-05,Severe Storm(s),1.4169999999999998
2001-05-28,Flood,1.704
2001-05-28,Severe Storm(s),1.704
2001-06-11,Coastal Storm,1.6469999999999998
2001-08-27,Severe Storm(s),1.4880000000000002
2001-12-31,Snow,1.0959999999999999
2002-02-11,Fire,1.107
2002-05-06,Severe Storm(s),1.395
2002-05-06,Flood,1.395
2002-06-03,Fire,1.392
2002-06-10,Fire,1.375
2002-06-17,Fire,1.3780000000000001
2002-07-01,Fire,1.392
2002-07-15,Fire,1.3940000000000001
2002-07-22,Fire,1.41
2002-07-29,Fire,1.4069999999999998
2002-08-26,Fire,1.403
2002-11-18,Severe Storm(s),1.409
2003-01-06,Severe Ice Storm,1.444
2003-01-06,Typhoon,1.444
2003-05-12,Severe Storm(s),1.4909999999999999
2003-05-12,Severe Ice Storm,1.4909999999999999
2003-07-14,Fire,1.521
2003-07-21,Severe Storm(s),1.524
2003-08-11,Fire,1.571
2003-09-29,Fire,1.591
2003-10-27,Fire,1.5419999999999998
2004-01-26,Severe Storm(s),1.6219999999999999
2004-01-26,Snow,1.6219999999999999
2004-04-26,Fire,1.8119999999999998
2004-06-07,Severe Storm(s),2.0340000000000003
2004-06-28,Fire,1.921
2004-07-26,Fire,1.905
2004-09-13,Fire,1.8459999999999999
2004-09-20,Severe Storm(s),1.8659999999999999
2004-10-18,Severe Storm(s),2.035
2004-11-15,Severe Storm(s),1.969
2005-03-07,Severe Storm(s),1.999
2005-03-14,Severe Storm(s),2.056
2005-03-14,Snow,2.056
2005-06-27,Fire,2.215
2005-07-25,Fire,2.289
2005-08-01,Flood,2.291
2005-08-01,Fire,2.291
2005-08-15,Fire,2.55
2005-08-22,Tornado,2.612
2005-08-22,Fire,2.612
2005-08-29,Hurricane,2.61
2005-08-29,Fire,2.61
2005-09-05,Hurricane,3.069
2005-09-05,Coastal Storm,3.069
2005-09-05,Fire,3.069
2005-09-12,Hurricane,2.955
2005-09-19,Hurricane,2.786
2005-10-24,Hurricane,2.603
2005-11-21,Snow,2.201
2006-01-02,Fire,2.238
2006-01-09,Fire,2.327
2006-02-06,Fire,2.342
2006-02-27,Severe Storm(s),2.254
2006-03-20,Severe Storm(s),2.504
2006-05-15,Fire,2.947
2006-06-05,Severe Storm(s),2.892
2006-06-05,Flood,2.892
2006-06-19,Fire,2.8710000000000004
2006-06-26,Fire,2.8689999999999998
2006-07-17,Fire,2.989
2006-07-24,Fire,3.003
2006-08-14,Fire,3.0
2006-09-11,Fire,2.6180000000000003
2006-10-16,Severe Storm(s),2.226
2007-01-15,Severe Ice Storm,2.229
2007-03-12,Snow,2.559
2007-03-26,Fire,2.61
2007-04-02,Severe Storm(s),2.707
2007-05-07,Fire,3.054
2007-06-11,Severe Storm(s),3.076
2007-07-02,Severe Storm(s),2.9589999999999996
2007-07-16,Fire,3.049
2007-07-23,Fire,2.958
2007-08-27,Severe Storm(s),2.7489999999999997
2007-09-03,Fire,2.7960000000000003
2007-10-22,Fire,2.823
2007-12-10,Severe Ice Storm,3.0
2008-02-25,Fire,3.13
2008-03-31,Fire,3.29
2008-04-21,Fire,3.508
2008-05-05,Severe Storm(s),3.613
2008-05-12,Fire,3.722
2008-05-19,Severe Storm(s),3.7910000000000004
2008-05-26,Severe Storm(s),3.937
2008-06-16,Fire,4.082
2008-07-14,Severe Storm(s),4.113
2008-08-11,Severe Storm(s),3.8089999999999997
2008-09-22,Hurricane,3.718
2008-10-13,Fire,3.1510000000000002
2008-10-27,Hurricane,2.656
2008-12-15,Severe Storm(s),1.659
2009-01-05,Severe Ice Storm,1.6840000000000002
2009-01-05,Flood,1.6840000000000002
2009-03-02,Severe Storm(s),1.9340000000000002
2009-04-27,Tornado,2.049
2009-05-18,Fire,2.309
2009-07-13,Severe Storm(s),2.528
2009-08-31,Fire,2.613
2010-03-08,Severe Storm(s),2.7510000000000003
2010-03-29,Severe Storm(s),2.798
2010-04-19,Flood,2.86
2010-05-03,Other,2.898
2010-05-03,Severe Storm(s),2.898
2010-05-24,Fire,2.786
2010-05-24,Severe Storm(s),2.786
2010-07-19,Fire,2.722
2010-07-26,Severe Storm(s),2.7489999999999997
2010-09-06,Fire,2.682
2010-09-13,Flood,2.721
2010-10-04,Severe Storm(s),2.7319999999999998
2011-02-28,Fire,3.383
2011-03-07,Snow,3.52
2011-03-21,Fire,3.562
2011-04-18,Tsunami,3.844
2011-05-02,Severe Storm(s),3.963
2011-05-09,Fire,3.965
2011-05-09,Severe Storm(s),3.965
2011-06-06,Severe Storm(s),3.781
2011-06-20,Fire,3.6519999999999997
2011-06-27,Flood,3.574
2011-07-04,Fire,3.5789999999999997
2011-07-11,Fire,3.641
2011-07-25,Severe Storm(s),3.699
2011-08-01,Fire,3.7110000000000003
2011-08-08,Flood,3.674
2011-08-08,Fire,3.674
2011-08-15,Fire,3.6039999999999996
2011-08-22,Hurricane,3.5810000000000004
2011-08-29,Hurricane,3.627
2011-08-29,Fire,3.627
2011-09-05,Fire,3.674
2011-09-12,Flood,3.661
2011-10-03,Fire,3.4330000000000003
2011-10-31,Severe Storm(s),3.452
2011-12-05,Severe Storm(s),3.29
2012-03-05,Severe Storm(s),3.793
2012-03-26,Fire,3.918
2012-04-30,Fire,3.83
2012-06-18,Fire,3.533
2012-07-02,Fire,3.3560000000000003
2012-07-23,Severe Storm(s),3.4939999999999998
2012-07-30,Fire,3.508
2012-08-13,Fire,3.721
2012-08-20,Severe Storm(s),3.7439999999999998
2012-08-27,Hurricane,3.7760000000000002
2012-09-10,Fire,3.847
2012-09-24,Fire,3.826
2012-10-29,Hurricane,3.568
2012-11-26,Hurricane,3.437
2013-03-25,Severe Storm(s),3.68
2013-04-08,Severe Storm(s),3.608
2013-05-06,Severe Storm(s),3.5380000000000003
2013-05-20,Tornado,3.673
2013-08-19,Fire,3.55
2013-09-30,Severe Storm(s),3.425
2014-01-06,Severe Ice Storm,3.332
2014-03-24,Mud/Landslide,3.549
2014-03-31,Severe Ice Storm,3.5789999999999997
2014-05-05,Fire,3.6839999999999997
2014-05-12,Fire,3.668
2014-07-14,Severe Storm(s),3.635
2014-07-14,Fire,3.635
2014-07-21,Flood,3.593
2014-07-21,Fire,3.593
2014-07-28,Severe Storm(s),3.5389999999999997
2014-07-28,Flood,3.5389999999999997
2014-08-11,Fire,3.505
2014-08-25,Fire,3.4539999999999997
2014-09-15,Fire,3.408
2014-10-06,Severe Storm(s),3.299
2014-11-03,Volcano,2.9930000000000003
2014-12-22,Snow,2.403
2015-04-13,Severe Storm(s),2.408
2015-04-20,Severe Ice Storm,2.485
2015-05-18,Flood,2.7439999999999998
2015-06-15,Fire,2.835
2015-06-29,Fire,2.801
2015-07-06,Fire,2.793
2015-07-13,Flood,2.8339999999999996
2015-07-20,Severe Storm(s),2.802
2015-08-24,Fire,2.637
2015-09-14,Fire,2.375
2015-10-05,Flood,2.318
2016-01-04,Severe Storm(s),2.028
2016-02-01,Severe Storm(s),1.8219999999999998
2016-03-07,Snow,1.841
2016-03-14,Severe Storm(s),1.9609999999999999
2016-04-25,Flood,2.162
2016-07-25,Fire,2.182
2016-08-01,Fire,2.1590000000000003
2016-08-08,Fire,2.15
2016-08-22,Fire,2.193
2016-10-10,Hurricane,2.272
2016-10-17,Fire,2.2569999999999997
2016-10-31,Flood,2.23
2016-11-28,Fire,2.154
2017-03-06,Fire,2.3409999999999997
2017-03-27,Severe Storm(s),2.315
2017-05-08,Fire,2.372
2017-05-22,Severe Storm(s),2.399
2017-06-26,Severe Storm(s),2.2880000000000003
2017-07-17,Fire,2.278
2017-08-28,Hurricane,2.399
2017-09-04,Fire,2.679
2017-09-11,Hurricane,2.685
2017-09-18,Hurricane,2.634
2017-10-09,Fire,2.504
2017-10-16,Hurricane,2.489
2018-06-11,Fire,2.911
2018-06-25,Fire,2.833
2018-06-25,Severe Storm(s),2.833
2018-07-02,Fire,2.844
2018-07-02,Flood,2.844
2018-07-23,Fire,2.8310000000000004
2018-07-30,Severe Storm(s),2.846
2018-08-06,Fire,2.852
2018-08-13,Fire,2.843
2018-08-20,Tornado,2.821
2018-08-20,Severe Storm(s),2.821
2018-08-27,Severe Storm(s),2.827
2018-09-03,Fire,2.824
2018-09-10,Hurricane,2.833
2018-09-10,Typhoon,2.833
2018-10-01,Flood,2.866
2018-10-01,Typhoon,2.866
2018-10-15,Hurricane,2.8789999999999996
2018-11-05,Hurricane,2.753
2018-11-12,Fire,2.6860000000000004
2019-02-25,Flood,2.39
2019-02-25,Severe Storm(s),2.39
2019-03-04,Severe Storm(s),2.4219999999999997
2019-04-08,Flood,2.745
2019-04-08,Severe Storm(s),2.745
2019-04-29,Flood,2.887
2019-05-20,Flood,2.852
2019-06-03,Severe Storm(s),2.807
2019-06-17,Flood,2.67
2019-07-08,Earthquake,2.7430000000000003
2019-07-22,Fire,2.75
2019-09-23,Flood,2.654
2019-09-30,Hurricane,2.642
2019-10-07,Typhoon,2.645
2019-10-07,Severe Storm(s),2.645
2019-10-21,Hurricane,2.638
2019-10-28,Fire,2.596
2019-11-18,Severe Storm(s),2.592
2020-03-23,Biological,2.12
2020-03-30,Biological,2.005
2020-05-18,Fire,1.8780000000000001
2020-07-13,Fire,2.195
2020-08-03,Fire,2.176
2020-08-17,Fire,2.166
