,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984
AK,3.095,2.595,3.383,2.528,2.385,2.086,1.69,1.46,1.266,1.365,1.314,0.978,0.963,1.162,1.205,1.137,1.091,1.058,1.119,1.041,1.141,0.964,0.92,0.925,0.977,1.035,0.967
AL,2.233,1.802,2.754,2.254,2.056,1.794,1.357,1.042,0.88,0.935,1.017,0.684,0.618,0.788,0.783,0.72,0.674,0.704,0.747,0.79,0.89,0.776,0.661,0.681,0.665,0.954,0.938
AR,2.231,1.745,2.693,2.293,2.022,1.751,1.337,1.048,0.88,0.936,1.003,0.664,0.582,0.754,0.759,0.683,0.663,0.694,0.716,0.764,0.853,0.713,0.64,0.664,0.616,0.926,0.927
AZ,2.324,1.882,2.765,2.332,2.172,1.934,1.545,1.286,0.932,1.045,1.114,0.813,0.707,0.936,0.937,0.802,0.796,0.843,0.82,0.761,0.891,0.758,0.66,0.714,0.693,0.954,0.959
CA,2.503,2.093,2.891,2.457,2.257,1.95,1.617,1.303,0.98,1.113,1.155,0.875,0.694,0.868,0.86,0.743,0.718,0.77,0.813,0.718,0.879,0.763,0.691,0.677,0.668,0.924,0.953
CO,2.213,1.814,2.742,2.376,2.122,1.831,1.405,1.122,0.955,1.084,1.083,0.763,0.687,0.865,0.865,0.776,0.778,0.789,0.808,0.78,0.861,0.742,0.653,0.7,0.641,0.965,0.917
CT,2.387,1.911,2.779,2.356,2.176,1.83,1.45,1.15,0.947,1.057,1.133,0.746,0.633,0.829,0.83,0.759,0.711,0.744,0.795,0.852,0.927,0.795,0.746,0.718,0.689,0.945,0.933
DE,2.286,1.843,2.728,2.25,2.128,1.793,1.409,1.098,0.898,0.976,1.085,0.712,0.604,0.785,0.799,0.74,0.665,0.676,0.747,0.804,0.887,0.724,0.654,0.654,0.628,0.927,0.908
FL,2.254,1.834,2.741,2.269,2.079,1.793,1.37,1.072,0.893,0.929,1.008,0.692,0.605,0.782,0.793,0.712,0.669,0.704,0.729,0.773,0.875,0.735,0.672,0.679,0.627,0.936,0.931
GA,2.245,1.82,2.767,2.261,2.069,1.815,1.364,1.045,0.864,0.912,0.991,0.665,0.553,0.718,0.741,0.672,0.631,0.668,0.706,0.758,0.839,0.707,0.636,0.654,0.628,0.935,0.908
HI,3.009,2.398,3.207,2.636,2.594,2.194,1.754,1.497,1.159,1.408,1.289,0.971,1.067,1.103,1.103,1.01,1.029,1.07,1.009,0.963,1.014,0.943,0.866,0.868,0.879,1.089,1.072
IA,2.268,1.857,2.703,2.337,2.055,1.74,1.337,1.071,0.91,1.01,1.063,0.693,0.61,0.792,0.804,0.697,0.693,0.696,0.746,0.796,0.883,0.763,0.666,0.688,0.638,0.962,0.959
ID,2.405,1.872,2.793,2.349,2.12,1.842,1.447,1.173,0.931,1.026,1.126,0.822,0.711,0.884,0.871,0.759,0.741,0.749,0.809,0.778,0.909,0.782,0.693,0.695,0.676,0.958,0.967
IL,2.327,1.89,2.77,2.354,2.1,1.796,1.407,1.13,0.969,1.084,1.123,0.743,0.652,0.812,0.836,0.738,0.694,0.702,0.738,0.779,0.855,0.727,0.657,0.666,0.613,0.921,0.908
IN,2.252,1.85,2.718,2.303,2.046,1.763,1.367,1.092,0.916,1.01,1.069,0.707,0.617,0.779,0.785,0.701,0.673,0.689,0.727,0.781,0.854,0.705,0.63,0.644,0.608,0.927,0.945
KS,2.222,1.796,2.648,2.296,2.026,1.74,1.346,1.076,0.91,0.977,1.025,0.67,0.601,0.778,0.783,0.685,0.668,0.706,0.744,0.783,0.854,0.729,0.65,0.692,0.635,0.956,0.942
