FRED Graph Observations,
Federal Reserve Economic Data,
Link: https://fred.stlouisfed.org,
Help: https://fredhelp.stlouisfed.org,
Economic Research Division,
Federal Reserve Bank of St. Louis,
,
GASREGW,"US Regular All Formulations Gas Price, Dollars per Gallon, Weekly, Not Seasonally Adjusted"
,
"Frequency: Weekly, Ending Monday",
observation_date,GASREGW
2000-01-03,1.272
2000-01-10,1.264
2000-01-17,1.277
2000-01-24,1.315
2000-01-31,1.316
2000-02-07,1.325
2000-02-14,1.356
2000-02-21,1.406
2000-02-28,1.421
2000-03-06,1.501
2000-03-13,1.527
2000-03-20,1.529
2000-03-27,1.508
2000-04-03,1.503
2000-04-10,1.475
2000-04-17,1.444
2000-04-24,1.437
2000-05-01,1.420
2000-05-08,1.455
2000-05-15,1.492
2000-05-22,1.527
2000-05-29,1.540
2000-06-05,1.563
2000-06-12,1.631
2000-06-19,1.681
2000-06-26,1.658
2000-07-03,1.625
2000-07-10,1.593
2000-07-17,1.546
2000-07-24,1.520
2000-07-31,1.471
2000-08-07,1.462
2000-08-14,1.447
2000-08-21,1.468
2000-08-28,1.481
2000-09-04,1.530
2000-09-11,1.561
2000-09-18,1.562
2000-09-25,1.548
2000-10-02,1.524
2000-10-09,1.502
2000-10-16,1.539
2000-10-23,1.551
2000-10-30,1.545
2000-11-06,1.526
2000-11-13,1.523
2000-11-20,1.510
2000-11-27,1.510
2000-12-04,1.486
2000-12-11,1.449
2000-12-18,1.422
2000-12-25,1.414
2001-01-01,1.406
2001-01-08,1.425
2001-01-15,1.474
2001-01-22,1.471
2001-01-29,1.460
2001-02-05,1.443
2001-02-12,1.476
2001-02-19,1.449
2001-02-26,1.431
2001-03-05,1.417
2001-03-12,1.412
2001-03-19,1.404
2001-03-26,1.404
2001-04-02,1.442
2001-04-09,1.500
2001-04-16,1.571
2001-04-23,1.619
2001-04-30,1.626
2001-05-07,1.703
2001-05-14,1.713
2001-05-21,1.687
2001-05-28,1.704
2001-06-04,1.679
2001-06-11,1.647
2001-06-18,1.601
2001-06-25,1.538
2001-07-02,1.474
2001-07-09,1.437
2001-07-16,1.413
2001-07-23,1.395
2001-07-30,1.384
2001-08-06,1.376
2001-08-13,1.392
2001-08-20,1.427
2001-08-27,1.488
2001-09-03,1.545
2001-09-10,1.527
2001-09-17,1.529
2001-09-24,1.485
2001-10-01,1.416
2001-10-08,1.352
2001-10-15,1.309
2001-10-22,1.265
2001-10-29,1.235
2001-11-05,1.206
2001-11-12,1.182
2001-11-19,1.167
2001-11-26,1.127
2001-12-03,1.108
2001-12-10,1.095
2001-12-17,1.059
2001-12-24,1.072
2001-12-31,1.096
2002-01-07,1.112
2002-01-14,1.111
2002-01-21,1.105
2002-01-28,1.101
2002-02-04,1.116
2002-02-11,1.107
2002-02-18,1.116
2002-02-25,1.116
2002-03-04,1.144
2002-03-11,1.223
2002-03-18,1.288
2002-03-25,1.342
2002-04-01,1.371
2002-04-08,1.413
2002-04-15,1.404
2002-04-22,1.404
2002-04-29,1.393
2002-05-06,1.395
2002-05-13,1.388
2002-05-20,1.397
2002-05-27,1.387
2002-06-03,1.392
2002-06-10,1.375
2002-06-17,1.378
2002-06-24,1.384
2002-07-01,1.392
2002-07-08,1.382
2002-07-15,1.394
2002-07-22,1.410
2002-07-29,1.407
2002-08-05,1.395
2002-08-12,1.393
2002-08-19,1.392
2002-08-26,1.403
2002-09-02,1.394
2002-09-09,1.395
2002-09-16,1.401
2002-09-23,1.395
2002-09-30,1.413
2002-10-07,1.439
2002-10-14,1.440
2002-10-21,1.458
2002-10-28,1.444
2002-11-04,1.448
2002-11-11,1.439
2002-11-18,1.409
