Date,AK,AL,AR,AZ,CA,CO,CT,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
02-2011,3.287,2.659,2.707,2.774,2.911,2.555,2.815,2.691,2.663,2.682,3.307,2.742,2.589,2.742,2.677,2.654,2.699,2.641,2.754,2.672,2.761,2.692,2.776,2.636,2.677,2.548,2.625,2.798,2.741,2.755,2.748,2.718,2.739,2.758,2.693,2.657,2.791,2.689,2.72,2.624,2.759,2.62,2.634,2.591,2.663,2.846,2.691,2.687,2.751,2.533
01-2011,3.19,2.556,2.562,2.562,2.746,2.423,2.738,2.671,2.599,2.578,3.251,2.626,2.408,2.639,2.6,2.545,2.621,2.545,2.687,2.631,2.706,2.597,2.674,2.535,2.549,2.504,2.527,2.725,2.639,2.691,2.683,2.565,2.588,2.68,2.613,2.543,2.671,2.664,2.675,2.532,2.646,2.527,2.51,2.319,2.596,2.771,2.586,2.594,2.671,2.412
12-2010,3.167,2.45,2.464,2.446,2.664,2.26,2.663,2.577,2.486,2.469,3.14,2.486,2.403,2.538,2.493,2.407,2.506,2.444,2.604,2.542,2.616,2.499,2.529,2.445,2.456,2.463,2.419,2.581,2.489,2.624,2.595,2.454,2.53,2.589,2.515,2.406,2.566,2.581,2.598,2.425,2.533,2.42,2.403,2.307,2.499,2.694,2.515,2.487,2.567,2.349
11-2010,3.129,2.296,2.287,2.347,2.56,2.212,2.54,2.431,2.325,2.304,3.064,2.337,2.416,2.399,2.343,2.282,2.374,2.279,2.477,2.388,2.486,2.385,2.376,2.266,2.291,2.418,2.27,2.495,2.371,2.496,2.469,2.347,2.417,2.446,2.401,2.28,2.498,2.433,2.473,2.265,2.435,2.268,2.246,2.321,2.337,2.535,2.445,2.364,2.448,2.32
10-2010,3.112,2.242,2.239,2.276,2.509,2.22,2.412,2.319,2.261,2.243,3.026,2.3,2.427,2.358,2.286,2.244,2.32,2.239,2.342,2.302,2.367,2.309,2.387,2.231,2.245,2.381,2.211,2.468,2.316,2.368,2.322,2.348,2.349,2.327,2.31,2.251,2.458,2.317,2.327,2.22,2.379,2.22,2.219,2.352,2.275,2.413,2.403,2.314,2.367,2.337
09-2010,3.122,2.132,2.142,2.236,2.424,2.265,2.238,2.116,2.14,2.149,2.98,2.236,2.463,2.303,2.215,2.185,2.253,2.136,2.172,2.14,2.209,2.245,2.289,2.186,2.143,2.376,2.101,2.381,2.262,2.218,2.159,2.321,2.266,2.18,2.209,2.194,2.436,2.13,2.137,2.085,2.292,2.113,2.124,2.393,2.136,2.258,2.38,2.25,2.286,2.351
08-2010,3.141,2.149,2.157,2.306,2.537,2.232,2.305,2.198,2.155,2.159,3.042,2.211,2.456,2.264,2.175,2.183,2.219,2.164,2.245,2.19,2.233,2.216,2.232,2.146,2.149,2.377,2.127,2.354,2.263,2.274,2.237,2.363,2.39,2.235,2.17,2.198,2.514,2.188,2.203,2.103,2.31,2.141,2.158,2.4,2.182,2.304,2.454,2.202,2.266,2.352
07-2010,3.109,2.133,2.15,2.303,2.531,2.192,2.306,2.201,2.13,2.163,3.017,2.201,2.37,2.262,2.223,2.183,2.226,2.138,2.261,2.193,2.24,2.251,2.216,2.162,2.145,2.349,2.096,2.34,2.236,2.297,2.25,2.317,2.392,2.228,2.214,2.224,2.461,2.169,2.224,2.098,2.294,2.119,2.145,2.354,2.163,2.318,2.384,2.222,2.297,2.313
06-2010,3.101,2.151,2.163,2.292,2.481,2.194,2.33,2.235,2.154,2.171,2.945,2.179,2.403,2.277,2.212,2.16,2.23,2.174,2.295,2.22,2.306,2.243,2.216,2.157,2.162,2.344,2.112,2.353,2.203,2.328,2.262,2.287,2.356,2.249,2.213,2.18,2.411,2.171,2.241,2.097,2.266,2.136,2.172,2.426,2.184,2.349,2.338,2.209,2.272,2.33
05-2010,3.125,2.299,2.291,2.4,2.496,2.261,2.476,2.368,2.319,2.331,3.007,2.302,2.546,2.406,2.255,2.257,2.329,2.291,2.408,2.362,2.429,2.276,2.286,2.273,2.306,2.436,2.293,2.465,2.318,2.433,2.391,2.369,2.403,2.383,2.234,2.295,2.478,2.328,2.406,2.281,2.346,2.288,2.309,2.59,2.343,2.458,2.415,2.298,2.353,2.441
